,Rank,University,Country,Overall_Score,Year
109,110,KTH Royal Institute of Technology,Sweden,67.9,2015
110,111,匹兹堡大学University of Pittsburgh-Pittsburgh Campus,United States,67.7,2015
111,112,宾州州立大学Pennsylvania State University,United States,67.5,2015
112,113,麦克马斯特大学McMaster University,Canada,67.4,2015
113,114,Lomonosov Moscow State University,Russia,66.9,2015
114,115,Université Pierre et Marie Curie ,France,66.2,2015
115,116,University of Basel,Switzerland,66.0,2015
116,116,Korea University,South Korea,66.0,2015
117,118,Maastricht University,Netherlands,65.8,2015
118,119,"明尼苏达大学双城校区University of Minnesota,Twin Cities",United States,65.7,2015
119,120,约克大学The University of York,United Kingdom,65.1,2015
120,121,Albert-Ludwigs-Universitaet Freiburg,Germany,64.8,2015
121,122,"University of Maryland, College Park",United States,64.7,2015
122,123,卡迪夫大学Cardiff University,United Kingdom,64.5,2015
123,123,利物浦大学The University of Liverpool,United Kingdom,64.5,2015
124,123,Technical University of Denmark,Denmark,64.5,2015
125,126,Kyushu University,Japan,64.4,2015
126,127,"KIT, Karlsruhe Institut of Technology",Germany,64.3,2015
127,127,纽卡斯尔大学Newcastle University,United Kingdom,64.3,2015
128,129,Ghent University,Belgium,64.2,2015
129,129,莱斯大学Rice University,United States,64.2,2015
130,131,南加州大学University of Southern California,United States,64.0,2015
131,132,Universidade de São Paulo,Brazil,63.9,2015
132,132,"University of California, Santa Barbara ",United States,63.9,2015
133,134,Humboldt-Universität zu Berlin,Germany,63.7,2015
134,135,Hokkaido University,Japan,63.4,2015
135,136,达特茅斯学院Dartmouth College,United States,63.3,2015
136,137,阿伯丁大学University of Aberdeen,United Kingdom,62.9,2015
137,138,The Hebrew University of Jerusalem,Israel,62.7,2015
138,139,University College Dublin,Ireland,62.6,2015
139,140,Sungkyunkwan University ,South Korea,62.2,2015
140,141,University of Cape Town,South Africa,62.0,2015
141,141,Eberhard Karls Universität Tübingen,Germany,62.0,2015
142,141,"弗吉尼亚大学University of Virginia,Main Campus",United States,62.0,2015
143,144,Zhejiang University,China,61.9,2015
144,145,University of Bern,Switzerland,61.8,2015
145,146,Georg-August-University Goettingen,Germany,61.5,2015
146,147,RWTH Aachen University,Germany,61.2,2015
147,147,University of Science and Technology of China,China,61.2,2015
148,147,Eindhoven University of Technology,Netherlands,61.2,2015
149,150,Freie Universitaet Berlin,Germany,61.1,2015
150,151,Universiti Malaya ,Malaysia,61.0,2015
151,151,Wageningen University,Netherlands,61.0,2015
152,153,"University of California, Irvine",United States,60.8,2015
153,154,Université Catholique de Louvain ,Belgium,60.7,2015
154,155,University of Bergen,Norway,60.3,2015
155,156,University of Vienna,Austria,60.0,2015
156,156,Radboud University Radboud University,Netherlands,60.0,2015
157,156,埃默里大学Emory University,United States,60.0,2015
158,159,奥塔哥大学University of Otago,New Zealand,59.9,2015
159,160,兰卡斯特大学Lancaster University,United Kingdom,59.7,2015
160,161,埃克塞特大学University of Exeter,United Kingdom,59.6,2015
161,162,Nanjing University,China,59.3,2015
162,162,The Hong Kong Polytechnic University,Hong Kong,59.3,2015
163,164,University of Rochester,United States,59.0,2015
164,165,德克萨斯A&M大学Texas A & M University,United States,58.8,2015
165,166,University of Barcelona,Spain,58.7,2015
166,167,Pontificia Universidad Católica de Chile ,Chile,58.3,2015
167,167,National Tsing Hua University,Taiwan,58.3,2015
168,169,滑铁卢大学University of Waterloo,Canada,57.8,2015
169,170,英国女王大学Queen's University Belfast,United Kingdom,57.7,2015
170,171,Vrije Universiteit Amsterdam,Netherlands,57.6,2015
171,171,卡尔加里大学Calgary University,Canada,57.6,2015
172,173,Universitat Autònoma de Barcelona,Spain,57.5,2015
173,173,Universite libre de Bruxelles,Belgium,57.5,2015
174,175,Universidad Nacional Autónoma de Mexico ,Mexico,56.9,2015
175,175,Chalmers University of Technology,Sweden,56.9,2015
176,177,Rheinische Friedrich-Wilhelms-Universitt Bonn,Germany,56.8,2015
177,178,Universidad Autonoma de Madrid,Spain,56.5,2015
178,179,École Normale Supérieure de Lyon,France,56.3,2015
179,179,巴斯大学University of Bath,United Kingdom,56.3,2015
180,181,Vrije Universiteit Brussel ,Belgium,56.2,2015
181,182,Alma Mater Studiorum - University of Bologna,Italy,55.8,2015
182,182,Stockholm University,Sweden,55.8,2015
183,182,科罗拉多大学波尔得分校University of Colorado Boulder,United States,55.8,2015
184,182,范德堡大学Vanderbilt University,United States,55.8,2015
185,186,"University of Illinois, Chicago ",United States,55.7,2015
186,187,女王大学Queen's University,Canada,55.5,2015
187,187,Aalto University,Finland,55.5,2015
188,189,凯斯西储大学Case Western Reserve University,United States,55.4,2015
189,190,Technion - Israel Institute of Technology,Israel,55.3,2015
190,191,西安大略大学University of Western Ontario,Canada,55.2,2015
191,192,Technische Universität Berlin,Germany,54.9,2015
192,192,University Hamburg,Germany,54.9,2015
193,192,佛罗里达大学University of Florida,United States,54.9,2015
194,195,密歇根州立大学Michigan State University,United States,54.6,2015
195,195,Tel Aviv University,Israel,54.6,2015
196,197,Keio University,Japan,54.4,2015
197,198,Universidad de Buenos Aires ,Argentina,54.3,2015
198,198,University of Tsukuba,Japan,54.3,2015
199,200,萨塞克斯大学University of Sussex,United Kingdom,53.9,2015
